From	To
O15484	CAPN5
O15498	YKT6
O15504	NUP42
O15511	ARPC5
O15514	POLR2D
O15519	CFLAR
O15523	DDX3Y
O15525	MAFG
O15530	PDPK1
O15533	TAPBP
O15541	RNF113A
O15550	KDM6A
O15553	MEFV
O43143	DHX15
O43148	RNMT
O43149	ZZEF1
O43150	ASAP2
O43156	TTI1
O43159	RRP8
O43164	PJA2
O43166	SIPA1L1
O43169	CYB5B
O43172	PRPF4
O43175	PHGDH
O43181	NDUFS4
O43182	ARHGAP6
O43189	PHF1
O43237	DYNC1LI2
O43242	PSMD3
O43252	PAPSS1
O43257	ZNHIT1
O43264	ZW10
O43272	PRODH
O43278	SPINT1
O43290	SART1
O43291	SPINT2
O43292	GPAA1
O43293	DAPK3
O43294	TGFB1I1
O43295	SRGAP3
O43299	AP5Z1
O43301	HSPA12A
O43304	SEC14L5
O43306	ADCY6
O43310	CTIF
O43312	MTSS1
O43313	ATMIN
O43314	PPIP5K2
O43318	MAP3K7
O43324	EEF1E1
O43325	LYRM1
O43353	RIPK2
O43390	HNRNPR
O43395	PRPF3
O43396	TXNL1
O43399	TPD52L2
O43402	EMC8
O43405	COCH
O43414	ERI3
O43422	THAP12
O43426	SYNJ1
O43427	FIBP
O43432	EIF4G3
O43447	PPIH
O43464	HTRA2
O43488	AKR7A2
O43491	EPB41L2
O43493	TGOLN2
O43504	LAMTOR5
O43516	WIPF1
O43561	LAT
O43566	RGS14
O43567	RNF13
O43570	CA12
O43572	AKAP10
O43583	DENR
O43586	PSTPIP1
O43592	XPOT
O43598	DNPH1
O43615	TIMM44
O43617	TRAPPC3
O43633	CHMP2A
O43639	NCK2
O43660	PLRG1
O43663	PRC1
O43665	RGS10
O43670	ZNF207
O43674	NDUFB5
O43676	NDUFB3
O43678	NDUFA2
O43681	GET3
O43684	BUB3
O43699	SIGLEC6
O43704	SULT1B1
O43707	ACTN4
O43708	GSTZ1
O43709	BUD23
O43715	TRIAP1
O43716	GATC
O43719	HTATSF1
O43734	TRAF3IP2
O43736	ITM2A
O43741	PRKAB2
O43747	AP1G1
O43752	STX6
O43759	SYNGR1
O43760	SYNGR2
O43765	SGTA
O43766	LIAS
O43768	ENSA
O43772	SLC25A20
O43776	NARS1
O43805	SSNA1
O43808	SLC25A17
O43809	NUDT21
O43813	LANCL1
O43815	STRN
O43818	RRP9
O43819	SCO2
O43820	HYAL3
O43822	CFAP410
O43823	AKAP8
O43824	GTPBP6
O43826	SLC37A4
O43829	ZBTB14
O43837	IDH3B
O43847	NRDC
O43852	CALU
O43861	ATP9B
O43865	AHCYL1
O43896	KIF1C
O43913	ORC5
O43914	TYROBP
O43920	NDUFS5
O43924	PDE6D
O43929	ORC4
O43933	PEX1
O43934	MFSD11
O60216	RAD21
O60229	KALRN
O60231	DHX16
O60232	ZNRD2
O60234	GMFG
O60238	BNIP3L
O60239	SH3BP5
O60244	MED14
O60256	PRPSAP2
O60262	GNG7
O60264	SMARCA5
O60268	KIAA0513
O60271	SPAG9
O60281	ZNF292
O60287	URB1
O60291	MGRN1
O60292	SIPA1L3
O60293	ZFC3H1
O60296	TRAK2
O60303	KATNIP
O60306	AQR
O60307	MAST3
O60308	CEP104
O60313	OPA1
O60315	ZEB2
O60318	MCM3AP
O60331	PIP5K1C
O60333	KIF1B
O60341	KDM1A
O60343	TBC1D4
O60356	NUPR1
O60427	FADS1
O60443	GSDME
O60449	LY75
O60462	NRP2
O60476	MAN1A2
O60478	GPR137B
O60486	PLXNC1
O60487	MPZL2
O60488	ACSL4
O60493	SNX3
O60496	DOK2
O60499	STX10
O60502	OGA
O60504	SORBS3
O60506	SYNCRIP
O60507	TPST1
O60508	CDC40
O60512	B4GALT3
O60513	B4GALT4
O60518	RANBP6
O60524	NEMF
O60547	GMDS
O60551	NMT2
O60563	CCNT1
O60568	PLOD3
O60573	EIF4E2
O60603	TLR2
O60610	DIAPH1
O60613	SELENOF
O60636	TSPAN2
O60637	TSPAN3
O60645	EXOC3
O60658	PDE8A
O60664	PLIN3
O60669	SLC16A7
O60671	RAD1
O60674	JAK2
O60678	PRMT3
O60684	KPNA6
O60701	UGDH
O60704	TPST2
O60711	LPXN
O60716	CTNND1
O60725	ICMT
O60733	PLA2G6
O60739	EIF1B
O60749	SNX2
O60760	HPGDS
O60762	DPM1
O60763	USO1
O60784	TOM1
O60825	PFKFB2
O60826	CCDC22
O60828	PQBP1
O60830	TIMM17B
O60831	PRAF2
O60832	DKC1
O60841	EIF5B
O60861	GAS7
O60869	EDF1
O60870	KIN
O60879	DIAPH2
O60884	DNAJA2
O60885	BRD4
O60888	CUTA
O60906	SMPD2
O60907	TBL1X
O60921	HUS1
O60925	PFDN1
O60930	RNASEH1
O60934	NBN
O60936	NOL3
O60941	DTNB
O60942	RNGTT
O75022	LILRB3
O75023	LILRB5
O75027	ABCB7
O75030	MITF
O75037	KIF21B
O75044	SRGAP2
O75063	FAM20B
O75064	DENND4B
O75071	EFCAB14
O75083	WDR1
O75110	ATP9A
O75113	N4BP1
O75116	ROCK2
O75122	CLASP2
O75127	PTCD1
O75131	CPNE3
O75140	DEPDC5
O75143	ATG13
O75150	RNF40
O75151	PHF2
O75152	ZC3H11A
O75153	CLUH
O75157	TSC22D2
O75165	DNAJC13
O75167	PHACTR2
O75170	PPP6R2
O75175	CNOT3
O75179	ANKRD17
O75182	SIN3B
O75185	ATP2C2
O75190	DNAJB6
O75191	XYLB
O75197	LRP5
O75204	TMEM127
O75208	COQ9
O75223	GGCT
O75251	NDUFS7
O75264	SMIM24
O75298	RTN2
O75306	NDUFS2
O75312	ZPR1
O75317	USP12
O75323	NIPSNAP2
O75324	SNN
O75326	SEMA7A
O75340	PDCD6
O75347	TBCA
O75348	ATP6V1G1
O75351	VPS4B
O75352	MPDU1
O75356	ENTPD5
O75362	ZNF217
O75367	MACROH2A1
O75368	SH3BGRL
O75369	FLNB
O75376	NCOR1
O75379	VAMP4
O75380	NDUFS6
O75381	PEX14
O75382	TRIM3
O75390	CS
O75391	SPAG7
O75396	SEC22B
O75400	PRPF40A
O75410	TACC1
O75414	NME6
O75419	CDC45
O75420	GIGYF1
O75425	MOSPD3
O75427	LRCH4
O75431	MTX2
O75436	VPS26A
O75438	NDUFB1
O75439	PMPCB
O75444	MAF
O75448	MED24
O75449	KATNA1
O75460	ERN1
O75475	PSIP1
O75477	ERLIN1
O75487	GPC4
O75489	NDUFS3
O75494	SRSF10
O75496	GMNN
O75503	CLN5
O75506	HSBP1
O75521	ECI2
O75528	TADA3
O75529	TAF5L
O75530	EED
O75531	BANF1
O75533	SF3B1
O75534	CSDE1
O75554	WBP4
O75558	STX11
O75563	SKAP2
O75569	PRKRA
O75575	CRCP
O75582	RPS6KA5
O75586	MED6
O75592	MYCBP2
O75607	NPM3
O75608	LYPLA1
O75616	ERAL1
O75629	CREG1
O75643	SNRNP200
O75648	TRMU
O75663	TIPRL
O75665	OFD1
O75674	TOM1L1
O75676	RPS6KA4
O75683	SURF6
O75688	PPM1B
O75689	ADAP1
O75691	UTP20
O75694	NUP155
O75695	RP2
O75716	STK16
O75717	WDHD1
O75718	CRTAP
O75746	SLC25A12
O75781	PALM
O75787	ATP6AP2
O75791	GRAP2
O75792	RNASEH2A
O75794	CDC123
O75808	CAPN15
O75815	BCAR3
O75817	POP7
O75818	RPP40
O75821	EIF3G
O75822	EIF3J
O75828	CBR3
O75832	PSMD10
O75843	AP1G2
O75844	ZMPSTE24
O75864	PPP1R37
O75865	TRAPPC6A
O75874	IDH1
O75879	GATB
O75880	SCO1
O75882	ATRN
O75884	RBBP9
O75886	STAM2
O75888	TNFSF13
O75901	RASSF9
O75907	DGAT1
O75909	CCNK
O75911	DHRS3
O75915	ARL6IP5
O75923	DYSF
O75925	PIAS1
O75934	BCAS2
O75935	DCTN3
O75937	DNAJC8
O75940	SMNDC1
O75943	RAD17
O75947	ATP5PD
O75954	TSPAN9
O75955	FLOT1
O75962	TRIO
O75964	ATP5MG
O75976	CPD
O75995	SASH3
O76003	GLRX3
O76009	KRT33A
O76011	KRT34
O76013	KRT36
O76021	RSL1D1
O76024	WFS1
O76031	CLPX
O76038	SCGN
O76039	CDKL5
O76054	SEC14L2
O76070	SNCG
O76071	CIAO1
O76074	PDE5A
O76075	DFFB
O76080	ZFAND5
O76094	SRP72
O76096	CST7
O94759	TRPM2
O94760	DDAH1
O94762	RECQL5
O94763	URI1
O94766	B3GAT3
O94768	STK17B
O94776	MTA2
O94782	USP1
O94788	ALDH1A2
O94804	STK10
O94806	PRKD3
O94811	TPPP
O94817	ATG12
O94818	NOL4
O94819	KBTBD11
O94822	LTN1
O94826	TOMM70
O94829	IPO13
O94830	DDHD2
O94832	MYO1D
O94842	TOX4
O94855	SEC24D
O94864	SUPT7L
O94868	FCHSD2
O94874	UFL1
O94875	SORBS2
O94876	TMCC1
O94880	PHF14
O94886	TMEM63A
O94888	UBXN7
O94901	SUN1
O94903	PLPBP
O94905	ERLIN2
O94906	PRPF6
O94913	PCF11
O94915	FRYL
O94919	ENDOD1
O94923	GLCE
O94925	GLS
O94927	HAUS5
O94952	FBXO21
O94953	KDM4B
O94956	SLCO2B1
O94964	MTCL2
O94966	USP19
O94967	WDR47
O94972	TRIM37
O94973	AP2A2
O94979	SEC31A
O94986	CEP152
O94988	FAM13A
O94992	HEXIM1
O95045	UPP2
O95059	RPP14
O95067	CCNB2
O95071	UBR5
O95081	AGFG2
O95104	SCAF4
O95136	S1PR2
O95139	NDUFB6
O95140	MFN2
O95149	SNUPN
O95155	UBE4B
O95159	ZFPL1
O95163	ELP1
O95164	UBL3
O95167	NDUFA3
O95168	NDUFB4
O95182	NDUFA7
O95197	RTN3
O95198	KLHL2
O95199	RCBTB2
O95202	LETM1
O95208	EPN2
O95210	STBD1
O95214	LEPROTL1
O95218	ZRANB2
O95219	SNX4
O95232	LUC7L3
O95236	APOL3
O95239	KIF4A
O95243	MBD4
O95248	SBF1
O95249	GOSR1
O95251	KAT7
O95260	ATE1
O95273	CCNDBP1
O95278	EPM2A
O95279	KCNK5
O95292	VAPB
O95295	SNAPIN
O95297	MPZL1
O95299	NDUFA10
O95302	FKBP9
O95319	CELF2
O95336	PGLS
O95340	PAPSS2
O95347	SMC2
O95352	ATG7
O95359	TACC2
O95361	TRIM16
O95363	FARS2
O95365	ZBTB7A
O95372	LYPLA2
O95373	IPO7
O95376	ARIH2
O95379	TNFAIP8
O95382	MAP3K6
O95391	SLU7
O95394	PGM3
O95396	MOCS3
O95400	CD2BP2
O95402	MED26
O95406	CNIH1
O95415	BRI3
O95425	SVIL
O95427	PIGN
O95428	PAPLN
O95429	BAG4
O95433	AHSA1
O95453	PARN
O95456	PSMG1
O95466	FMNL1
O95470	SGPL1
O95476	CTDNEP1
O95477	ABCA1
O95479	H6PD
O95486	SEC24A
O95487	SEC24B
O95497	VNN1
O95498	VNN2
O95544	NADK
O95551	TDP2
O95562	SFT2D2
O95563	MPC2
O95571	ETHE1
O95573	ACSL3
O95602	POLR1A
O95613	PCNT
O95619	YEATS4
O95625	ZBTB11
O95630	STAMBP
O95639	CPSF4
O95644	NFATC1
O95671	ASMTL
O95674	CDS2
O95684	CEP43
O95685	PPP1R3D
O95707	POP4
O95714	HERC2
O95716	RAB3D
O95721	SNAP29
O95747	OXSR1
O95749	GGPS1
O95757	HSPA4L
O95758	PTBP3
O95759	TBC1D8
O95772	STARD3NL
O95777	LSM8
O95782	AP2A1
O95785	WIZ
O95786	RIGI
O95793	STAU1
O95801	TTC4
O95807	TMEM50A
O95810	CAVIN2
O95816	BAG2
O95817	BAG3
O95819	MAP4K4
O95822	MLYCD
O95825	CRYZL1
O95831	AIFM1
O95834	EML2
O95848	NUDT14
O95861	BPNT1
O95864	FADS2
O95865	DDAH2
O95868	LY6G6D
O95870	ABHD16A
O95873	C6orf47
O95881	TXNDC12
O95926	SYF2
O95976	IGSF6
O95983	MBD3
O95989	NUDT3
O95999	BCL10
O96000	NDUFB10
O96005	CLPTM1
O96006	ZBED1
O96008	TOMM40
O96011	PEX11B
O96013	PAK4
O96017	CHEK2
O96019	ACTL6A
O96033	MOCS2
P00156	MT-CYB
P00167	CYB5A
P00338	LDHA
P00352	ALDH1A1
P00367	GLUD1
P00374	DHFR
P00387	CYB5R3
P00390	GSR
P00403	MT-CO2
P00414	MT-CO3
P00441	SOD1
P00450	CP
P00451	F8
P00488	F13A1
P00491	PNP
P00492	HPRT1
P00505	GOT2
P00519	ABL1
P00558	PGK1
P00568	AK1
P00738	HP
P00746	CFD
P00747	PLG
P00749	PLAU
P00751	CFB
P00813	ADA
P00918	CA2
P00973	OAS1
P01008	SERPINC1
P01009	SERPINA1
P01023	A2M
P01024	C3
P01033	TIMP1
P01034	CST3
P01040	CSTA
P01112	HRAS
P01127	PDGFB
P01130	LDLR
P01137	TGFB1
P01308	INS
P01730	CD4
P01833	PIGR
P01871	IGHM
P01889	HLA-B
P01893	HLA-H
P01903	HLA-DRA
P01909	HLA-DQA1
P01911	HLA-DRB1
P01920	HLA-DQB1
P02008	HBZ
P02452	COL1A1
P02533	KRT14
P02545	LMNA
P02549	SPTA1
P02647	APOA1
P02649	APOE
P02654	APOC1
P02656	APOC3
P02686	MBP
P02745	C1QA
P02746	C1QB
P02747	C1QC
P02749	APOH
P02750	LRG1
P02751	FN1
P02763	ORM1
P02765	AHSG
P02771	AFP
P02774	GC
P02775	PPBP
P02786	TFRC
P02787	TF
P02788	LTF
P02790	HPX
P02792	FTL
P02794	FTH1
P02795	MT2A
P03891	MT-ND2
P03905	MT-ND4
P03915	MT-ND5
P03923	MT-ND6
P04035	HMGCR
P04040	CAT
P04049	RAF1
P04062	GBA1
P04066	FUCA1
P04075	ALDOA
P04080	CSTB
P04083	ANXA1
P04150	NR3C1
P04156	PRNP
P04179	SOD2
P04181	OAT
P04183	TK1
P04233	CD74
P04259	KRT6B
P04271	S100B
P04275	VWF
P04350	TUBB4A
P04406	GAPDH
P04424	ASL
P04439	HLA-A
P04440	HLA-DPB1
P04632	CAPNS1
P04792	HSPB1
P04818	TYMS
P04839	CYBB
P04843	RPN1
P04844	RPN2
P04899	GNAI2
P04920	SLC4A2
P04921	GYPC
P05023	ATP1A1
P05026	ATP1B1
P05062	ALDOB
P05067	APP
P05089	ARG1
P05091	ALDH2
P05106	ITGB3
P05107	ITGB2
P05108	CYP11A1
P05109	S100A8
P05114	HMGN1
P05120	SERPINB2
P05121	SERPINE1
P05141	SLC25A5
P05155	SERPING1
P05161	ISG15
P05164	MPO
P05165	PCCA
P05166	PCCB
P05198	EIF2S1
P05204	HMGN2
P05362	ICAM1
P05387	RPLP2
P05388	RPLP0
P05412	JUN
P05413	FABP3
P05452	CLEC3B
P05455	SSB
P05538	HLA-DQB2
P05556	ITGB1
P05771	PRKCB
P05783	KRT18
P05937	CALB1
P06132	UROD
P06213	INSR
P06241	FYN
P06280	GLA
P06396	GSN
P06400	RB1
P06454	PTMA
P06493	CDK1
P06576	ATP5F1B
P06681	C2
P06702	S100A9
P06703	S100A6
P06729	CD2
P06730	EIF4E
P06733	ENO1
P06734	FCER2
P06737	PYGL
P06744	GPI
P06746	POLB
P06748	NPM1
P06753	TPM3
P06756	ITGAV
P06858	LPL
P06865	HEXA
P06899	H2BC11
P07093	SERPINE2
P07099	EPHX1
P07108	DBI
P07195	LDHB
P07197	NEFM
P07199	CENPB
P07203	GPX1
P07204	THBD
P07205	PGK2
P07225	PROS1
P07237	P4HB
P07305	H1-0
P07311	ACYP1
P07332	FES
P07333	CSF1R
P07339	CTSD
P07355	ANXA2
P07359	GP1BA
P07384	CAPN1
P07437	TUBB
P07451	CA3
P07478	PRSS2
P07602	PSAP
P07686	HEXB
P07711	CTSL
P07737	PFN1
P07741	APRT
P07814	EPRS1
P07858	CTSB
P07900	HSP90AA1
P07902	GALT
P07910	HNRNPC
P07919	UQCRH
P07947	YES1
P07948	LYN
P07954	FH
P07992	ERCC1
P07996	THBS1
P08047	SP1
P08069	IGF1R
P08133	ANXA6
P08134	RHOC
P08173	CHRM4
P08174	CD55
P08195	SLC3A2
P08236	GUSB
P08237	PFKM
P08238	HSP90AB1
P08240	SRPRA
P08246	ELANE
P08253	MMP2
P08311	CTSG
P08397	HMBS
P08473	MME
P08514	ITGA2B
P08559	PDHA1
P08567	PLEK
P08571	CD14
P08574	CYC1
P08575	PTPRC
P08579	SNRPB2
P08603	CFH
P08621	SNRNP70
P08631	HCK
P08648	ITGA5
P08651	NFIC
P08670	VIM
P08697	SERPINF2
P08708	RPS17
P08754	GNAI3
P08758	ANXA5
P08779	KRT16
P08865	RPSA
P08910	ABHD2
P08913	ADRA2A
P08962	CD63
P09001	MRPL3
P09012	SNRPA
P09086	POU2F2
P09104	ENO2
P09110	ACAA1
P09132	SRP19
P09211	GSTP1
P09326	CD48
P09382	LGALS1
P09417	QDPR
P09429	HMGB1
P09455	RBP1
P09467	FBP1
P09486	SPARC
P09488	GSTM1
P09493	TPM1
P09496	CLTA
P09497	CLTB
P09525	ANXA4
P09543	CNP
P09601	HMOX1
P09622	DLD
P09651	HNRNPA1
P09661	SNRPA1
P09668	CTSH
P09669	COX6C
P09769	FGR
P09874	PARP1
P09884	POLA1
P09913	IFIT2
P09914	IFIT1
P09917	ALOX5
P09936	UCHL1
P09958	FURIN
P09960	LTA4H
P09972	ALDOC
P0C221	CCDC175
P0C7P3	SLFN14
P0C7P4	UQCRFS1P1
P0C7U0	ELFN1
P0C7W6	CCDC172
P0C7X2	ZNF688
P0C870	JMJD7
P0CAP2	POLR2M
P0CG12	DERPC
P0CG38	POTEI
P0CG40	SP9
P0DMQ5	INAFM2
P0DPB6	POLR1D
P10074	ZBTB48
P10109	FDX1
P10114	RAP2A
P10124	SRGN
P10145	CXCL8
P10153	RNASE2
P10155	RO60
P10253	GAA
P10276	RARA
P10301	RRAS
P10321	HLA-C
P10398	ARAF
P10412	H1-4
P10415	BCL2
P10451	SPP1
P10515	DLAT
P10599	TXN
P10606	COX5B
P10619	CTSA
P10620	MGST1
P10636	MAPT
P10644	PRKAR1A
P10720	PF4V1
P10721	KIT
P10746	UROS
P10768	ESD
P10809	HSPD1
P10909	CLU
P11021	HSPA5
P11047	LAMC1
P11049	CD37
P11117	ACP2
P11142	HSPA8
P11150	LIPC
P11166	SLC2A1
P11169	SLC2A3
P11171	EPB41
P11172	UMPS
P11177	PDHB
P11182	DBT
P11215	ITGAM
P11216	PYGB
P11217	PYGM
P11233	RALA
P11234	RALB
P11274	BCR
P11277	SPTB
P11279	LAMP1
P11308	ERG
P11310	ACADM
P11387	TOP1
P11388	TOP2A
P11413	G6PD
P11441	UBL4A
P11474	ESRRA
P11498	PC
P11586	MTHFD1
P11678	EPX
P11717	IGF2R
P11766	ADH5
P11802	CDK4
P11908	PRPS2
P11940	PABPC1
P12004	PCNA
P12074	COX6A1
P12081	HARS1
P12107	COL11A1
P12109	COL6A1
P12110	COL6A2
P12235	SLC25A4
P12236	SLC25A6
P12259	F5
P12268	IMPDH2
P12270	TPR
P12277	CKB
P12314	FCGR1A
P12318	FCGR2A
P12429	ANXA3
P12532	CKMT1A
P12532	CKMT1B
P12694	BCKDHA
P12724	RNASE3
P12755	SKI
P12814	ACTN1
P12821	ACE
P12829	MYL4
P12931	SRC
P12955	PEPD
P12956	XRCC6
P13010	XRCC5
P13051	UNG
P13073	COX4I1
P13196	ALAS1
P13224	GP1BB
P13284	IFI30
P13473	LAMP2
P13489	RNH1
P13498	CYBA
P13501	CCL5
P13598	ICAM2
P13611	VCAN
P13612	ITGA4
P13639	EEF2
P13647	KRT5
P13667	PDIA4
P13674	P4HA1
P13686	ACP5
P13688	CEACAM1
P13693	TPT1
P13716	ALAD
P13727	PRG2
P13747	HLA-E
P13762	HLA-DRB4
P13796	LCP1
P13797	PLS3
P13798	APEH
P13804	ETFA
P13807	GYS1
P13861	PRKAR2A
P13929	ENO3
P13984	GTF2F2
P13987	CD59
P13995	MTHFD2
P14151	SELL
P14174	MIF
P14207	FOLR2
P14209	CD99
P14314	PRKCSH
P14317	HCLS1
P14324	FDPS
P14384	CPM
P14406	COX7A2
P14543	NID1
P14550	AKR1A1
P14598	NCF1
P14618	PKM
P14621	ACYP2
P14625	HSP90B1
P14678	SNRPB
P14735	IDE
P14770	GP9
P14778	IL1R1
P14780	MMP9
P14854	COX6B1
P14859	POU2F1
P14866	HNRNPL
P14868	DARS1
P14923	JUP
P14927	UQCRB
P15056	BRAF
P15088	CPA3
P15090	FABP4
P15104	GLUL
P15121	AKR1B1
P15144	ANPEP
P15151	PVR
P15153	RAC2
P15170	GSPT1
P15260	IFNGR1
P15289	ARSA
P15291	B4GALT1
P15309	ACP3
P15311	EZR
P15313	ATP6V1B1
P15336	ATF2
P15374	UCHL3
P15408	FOSL2
P15428	HPGD
P15498	VAV1
P15509	CSF2RA
P15529	CD46
P15531	NME1
P15559	NQO1
P15586	GNS
