,term_name,rank,p_value,z_score,combined_score,adj_p_value,genes,n_genes,db,significant,sample_id,direction
10,hdr thru homologous recombination (hrr) or single strand annealing (ssa) r-hsa-5693567,11,1.841436941915938e-08,5.885179153094462,104.8158324522252,1.8035106901433527e-06,"ATRIP,BLM,BRIP1,CCNA2,CDK2,CHEK1,EXO1,PCNA,POLD3,POLH,RAD51AP1,RAD51C,RBBP8,RMI1,RMI2,RNF168,UBB,UBE2N",18,Reactome_2022,True,D_only,both
11,regulation of tp53 activity thru phosphorylation r-hsa-6804756,12,2.005757950113089e-08,6.772200772200772,120.03494750205344,1.8035106901433527e-06,"ATRIP,BLM,BRIP1,CCNA2,CDK2,CHEK1,CHEK2,EXO1,MAPK11,PRKAB2,RBBP8,RMI1,RMI2,TAF9B,TPX2,UBB",16,Reactome_2022,True,D_only,both
12,"signaling by rho gtpases, miro gtpases and rhobtb3 r-hsa-9716542",13,2.9527334166084104e-08,2.5801781518361206,44.734998292959546,2.4507687357849807e-06,"ABI1,ABI2,ANLN,ARHGAP12,ARHGAP44,BTK,BUB1,BUB1B,CDC25C,CDC37,CDC42EP1,CKAP5,CTNNA1,CTTN,CYFIP1,DNMBP,DOCK6,DOCK9,DSG2,DVL2,DYNLL2,FNBP1L,HSP90AB1,KNL1,KNTC1,MAD2L1,MAPK11,MYO6,NDC80,NUF2,PKN3,PLEKHG2,PPP1R12B,PRAG1,PTK2,PTPN13,RACGAP1,RNF20,RRAS2,SKA2,SLK,SRF,STK38,TAX1BP3,TRIP10,UACA,VIM,WASF1,YWHAQ",49,Reactome_2022,True,D_only,both
13,homology directed repair r-hsa-5693538,14,3.665567845970252e-08,5.592382365272358,95.75107906805229,2.7363774834978025e-06,"ATRIP,BLM,BRIP1,CCNA2,CDK2,CHEK1,EXO1,PCNA,POLD3,POLH,RAD51AP1,RAD51C,RBBP8,RMI1,RMI2,RNF168,UBB,UBE2N",18,Reactome_2022,True,D_only,both
14,cyclin a/b1/b2 associated events during g2/m transition r-hsa-69273,15,3.854926089011631e-08,17.47271268057785,298.2824251179843,2.7363774834978025e-06,"CCNA2,CCNB1,CCNB2,CDC25B,CDC25C,CDK1,CDK2,LCMT1,PPME1",9,Reactome_2022,True,D_only,both
15,mitotic g1 phase and g1/s transition r-hsa-453279,16,4.057649651155221e-08,4.951109052544902,84.26825652557689,2.7363774834978025e-06,"AKT3,CCNA2,CCNB1,CDK1,CDK2,CDK6,CDKN2C,CKS1B,FBXO5,GMNN,MCM10,ORC6,PCNA,POLA2,PRIM1,RRM2,SKP2,TK1,TYMS,UBB",20,Reactome_2022,True,D_only,both
16,g2/m checkpoints r-hsa-69481,17,4.555394448811592e-08,4.912173202614379,83.03718654279344,2.8913356530986516e-06,"ATRIP,BLM,BRIP1,CCNB1,CCNB2,CDC25C,CDK1,CDK2,CHEK1,CHEK2,EXO1,MCM10,ORC6,RBBP8,RMI1,RMI2,RNF168,UBB,UBE2N,YWHAQ",20,Reactome_2022,True,D_only,both
17,g1/s transition r-hsa-69206,18,1.303653979148008e-07,5.085923056607096,80.62675461614063,7.81468135278167e-06,"AKT3,CCNA2,CCNB1,CDK1,CDK2,CKS1B,FBXO5,GMNN,MCM10,ORC6,PCNA,POLA2,PRIM1,RRM2,SKP2,TK1,TYMS,UBB",18,Reactome_2022,True,D_only,both
18,impaired brca2 binding to palb2 r-hsa-9709603,19,4.469611953964861e-07,15.506410256410257,226.7160309268966,2.4334531995778953e-05,"BLM,BRIP1,EXO1,RAD51AP1,RAD51C,RBBP8,RMI1,RMI2",8,Reactome_2022,True,D_only,both
19,rho gtpase effectors r-hsa-195258,20,4.675770165438914e-07,3.3767265615450435,49.21815928789211,2.4334531995778953e-05,"ABI1,ABI2,BTK,BUB1,BUB1B,CDC25C,CKAP5,CTNNA1,CTTN,CYFIP1,DVL2,DYNLL2,KNL1,KNTC1,MAD2L1,MAPK11,NDC80,NUF2,PKN3,PPP1R12B,PTK2,SKA2,SRF,TAX1BP3,WASF1,YWHAQ",26,Reactome_2022,True,D_only,both
20,mitotic prometaphase r-hsa-68877,21,4.7360998323573494e-07,4.000029757476566,58.25196005113591,2.4334531995778953e-05,"BUB1,BUB1B,CCNB1,CCNB2,CDCA5,CDK1,CKAP5,DYNLL2,HAUS7,KNL1,KNTC1,MAD2L1,NCAPD2,NCAPG,NCAPH,NDC80,NEK7,NUF2,SKA2,SMC4,SSNA1",21,Reactome_2022,True,D_only,both
21,m phase r-hsa-68886,22,5.295586763959845e-07,2.914942528735632,42.12448120158901,2.597244599233033e-05,"BANF1,BUB1,BUB1B,CCNB1,CCNB2,CDCA5,CDK1,CKAP5,DYNLL2,FBXO5,HAUS7,KIF20A,KNL1,KNTC1,MAD2L1,MASTL,MCPH1,NCAPD2,NCAPG,NCAPH,NDC80,NEK7,NUF2,PTTG1,SET,SKA2,SMC4,SSNA1,TUBA8,TUBB2A,UBB,UBE2C",32,Reactome_2022,True,D_only,both
22,defective hdr thru homologous recombination (hrr) due to brca1 loss-of-function r-hsa-9701192,23,6.391574673408022e-07,14.593514328808446,208.14897290943077,2.9984822054814153e-05,"BLM,BRIP1,EXO1,RAD51AP1,RAD51C,RBBP8,RMI1,RMI2",8,Reactome_2022,True,D_only,both
23,homologous dna pairing and strand exchange r-hsa-5693579,24,6.911424893789454e-07,9.419760304004678,133.6185447013146,3.107261441832842e-05,"ATRIP,BLM,BRIP1,CHEK1,EXO1,RAD51AP1,RAD51C,RBBP8,RMI1,RMI2",10,Reactome_2022,True,D_only,both
24,resolution of d-loop structures thru synthesis-dependent strand annealing (sdsa) r-hsa-5693554,25,1.2405806795743605e-06,13.056005398110662,177.5607725235795,5.181727736641015e-05,"BLM,BRIP1,EXO1,RAD51AP1,RAD51C,RBBP8,RMI1,RMI2",8,Reactome_2022,True,D_only,both
25,processing of dna double-strand break ends r-hsa-5693607,26,1.2486090931665096e-06,6.050032551298435,82.24099861295126,5.181727736641015e-05,"ATRIP,BLM,BRIP1,CCNA2,CDK2,CHEK1,EXO1,RBBP8,RMI1,RMI2,RNF168,UBB,UBE2N",13,Reactome_2022,True,D_only,both
26,chk1/chk2(cds1) mediated inactivation of cyclin b:cdk1 complex r-hsa-75035,27,1.380461789076948e-06,26.509812870835233,357.6993568263639,5.516734334866766e-05,"CCNB1,CDC25C,CDK1,CHEK1,CHEK2,YWHAQ",6,Reactome_2022,True,D_only,both
27,transcriptional regulation by tp53 r-hsa-3700989,28,3.1186523530932437e-06,2.817946166602883,35.72623031205332,0.00012017949603527178,"AKT3,ATRIP,BLM,BRIP1,CCNA2,CCNB1,CDC25C,CDK1,CDK2,CHEK1,CHEK2,CNOT4,CNOT6L,EXO1,JMY,MAP2K6,MAPK11,PCNA,PIP4K2A,PPP1R13L,PRKAB2,RBBP8,RMI1,RMI2,TAF9B,TPX2,TXNRD1,UBB,YWHAQ",29,Reactome_2022,True,D_only,both
28,presynaptic phase of homologous dna pairing and strand exchange r-hsa-5693616,29,3.376343176780353e-06,9.01118417646145,113.52936228841871,0.00012562325130158623,"ATRIP,BLM,BRIP1,CHEK1,EXO1,RAD51C,RBBP8,RMI1,RMI2",9,Reactome_2022,True,D_only,both
29,s phase r-hsa-69242,30,3.558616877202449e-06,3.9412541855538596,49.447521294353216,0.00012799158701671477,"AKT3,CCNA2,CDC25B,CDCA5,CDK2,CKS1B,GINS1,GINS3,GINS4,GMNN,ORC6,PCNA,POLA2,POLD3,PRIM1,SKP2,UBB,UBE2C",18,Reactome_2022,True,D_only,both
30,defective homologous recombination repair (hrr) due to brca2 loss of function r-hsa-9701190,31,4.205621863636748e-06,8.729133226324237,108.05871176591624,0.00014638277389884035,"ATRIP,BLM,BRIP1,EXO1,RAD51AP1,RAD51C,RBBP8,RMI1,RMI2",9,Reactome_2022,True,D_only,both
31,resolution of sister chromatid cohesion r-hsa-2500257,32,6.224194390342677e-06,4.746447164767131,56.89597798883406,0.00020987205459936715,"BUB1,BUB1B,CCNB1,CCNB2,CDCA5,CDK1,CKAP5,DYNLL2,KNL1,KNTC1,MAD2L1,NDC80,NUF2,SKA2",14,Reactome_2022,True,D_only,both
32,resolution of d-loop structures thru holliday junction intermediates r-hsa-5693568,33,6.5613865079603345e-06,9.919487179487179,118.38222134638431,0.00021453745582088486,"BLM,BRIP1,EXO1,RAD51AP1,RAD51C,RBBP8,RMI1,RMI2",8,Reactome_2022,True,D_only,both
33,resolution of d-loop structures r-hsa-5693537,34,8.344224128474377e-06,9.537475345167653,111.53067378070202,0.0002648064069007016,"BLM,BRIP1,EXO1,RAD51AP1,RAD51C,RBBP8,RMI1,RMI2",8,Reactome_2022,True,D_only,both
34,metabolism of nucleotides r-hsa-15869,35,8.963321758813815e-06,4.939477520784901,57.408433711713656,0.0002763264050788602,"ADA,ADK,AK4,DCTPP1,DNPH1,HPRT1,NUDT16,NUDT5,RRM1,RRM2,TK1,TXNRD1,TYMS",13,Reactome_2022,True,D_only,both
35,mitotic metaphase and anaphase r-hsa-2555396,36,1.718969497827034e-05,3.1056109687181546,34.07228055959082,0.000515213357820936,"BANF1,BUB1,BUB1B,CCNB1,CCNB2,CDCA5,CDK1,CKAP5,DYNLL2,FBXO5,KNL1,KNTC1,MAD2L1,NDC80,NUF2,PTTG1,SKA2,TUBA8,TUBB2A,UBB,UBE2C",21,Reactome_2022,True,D_only,both
36,synthesis of dna r-hsa-69239,37,2.3894156764713768e-05,4.1559870550161815,44.2275014561391,0.0006968052743007069,"CCNA2,CDK2,GINS1,GINS3,GINS4,GMNN,ORC6,PCNA,POLA2,POLD3,PRIM1,SKP2,UBB,UBE2C",14,Reactome_2022,True,D_only,both
37,eukaryotic translation elongation r-hsa-156842,38,2.577539481459488e-05,4.786600496277916,50.575652645031,0.0007318855527617861,"EEF1A1,EEF1B2,RPL15,RPL19,RPL31,RPL34,RPL36A,RPL36AL,RPL39,RPS15,RPS24,RPS6",12,Reactome_2022,True,D_only,both
38,diseases of dna repair r-hsa-9675135,39,2.7557395744909354e-05,6.647328594359092,69.79189568057485,0.0007624212822758255,"ATRIP,BLM,BRIP1,EXO1,RAD51AP1,RAD51C,RBBP8,RMI1,RMI2",9,Reactome_2022,True,D_only,both
39,"activation of nima kinases nek9, nek6, nek7 r-hsa-2980767",40,3.20386963606529e-05,41.11464968152866,425.47767091337545,0.000864243834328612,"CCNB1,CCNB2,CDK1,NEK7",4,Reactome_2022,True,D_only,both
40,dna strand elongation r-hsa-69190,41,4.1303141289769897e-05,9.0272,91.1257203638591,0.0010869777915039442,"GINS1,GINS3,GINS4,PCNA,POLA2,POLD3,PRIM1",7,Reactome_2022,True,D_only,both
41,mitotic anaphase r-hsa-68882,42,5.1080060951536135e-05,2.9528918485633247,29.18082076787734,0.0013122710896835115,"BANF1,BUB1,BUB1B,CCNB1,CCNB2,CDCA5,CDK1,CKAP5,DYNLL2,KNL1,KNTC1,MAD2L1,NDC80,NUF2,PTTG1,SKA2,TUBA8,TUBB2A,UBB,UBE2C",20,Reactome_2022,True,D_only,both
42,nonsense mediated decay (nmd) enhanced by exon junction complex (ejc) r-hsa-975957,43,5.34632074254183e-05,4.087678073138493,40.208514253281166,0.0013415535072564266,"RPL15,RPL19,RPL31,RPL34,RPL36A,RPL36AL,RPL39,RPS15,RPS24,RPS6,UPF2,UPF3A,UPF3B",13,Reactome_2022,True,D_only,both
43,g2/m transition r-hsa-69275,44,6.856741958276427e-05,3.217058388765706,30.844168417324745,0.0016814601302227875,"CCNA2,CCNB1,CCNB2,CDC25B,CDC25C,CDK1,CDK2,CKAP5,HAUS7,HSP90AB1,LCMT1,OPTN,PPME1,PPP1R12B,SSNA1,TPX2,UBB",17,Reactome_2022,True,D_only,both
44,mitotic g2-g2/m phases r-hsa-453274,45,7.857107010967778e-05,3.1781996981646463,30.0387766661369,0.0018839596588520516,"CCNA2,CCNB1,CCNB2,CDC25B,CDC25C,CDK1,CDK2,CKAP5,HAUS7,HSP90AB1,LCMT1,OPTN,PPME1,PPP1R12B,SSNA1,TPX2,UBB",17,Reactome_2022,True,D_only,both
45,peptide chain elongation r-hsa-156902,46,8.195841830415602e-05,4.55658615136876,42.87427939032472,0.0019224594206561814,"EEF1A1,RPL15,RPL19,RPL31,RPL34,RPL36A,RPL36AL,RPL39,RPS15,RPS24,RPS6",11,Reactome_2022,True,D_only,both
46,metabolism r-hsa-1430728,47,8.406630778148688e-05,1.5766064549822834,14.79472471060612,0.001929947789281369,"AACS,AASDHPPT,ABHD14B,ACAA2,ACOT7,ADA,ADK,AK4,ALDOC,BCAT1,BDH2,BRIP1,CA13,CBR1,CERS1,CHEK2,CHORDC1,CPNE7,DCTPP1,DNPH1,ENO1,ENO2,ENO3,GATM,GCAT,GGCT,GLTP,GNB5,GNPDA2,GPHN,GSTO1,GSTP1,HACD1,HMGCLL1,HPRT1,HSP90AB1,IDI1,INPP5D,INPP5F,ISYNA1,ITPKA,LDHA,LHPP,LTA4H,MTMR2,NAMPT,NQO2,NUDT16,NUDT4,NUDT5,PANK1,PDSS1,PFKFB3,PFKFB4,PFKP,PIP4K2A,PITPNB,PLCG1,PMVK,PPA1,PPIP5K1,PRKAB2,PRKD2,PRPS2,PTGR1,PTGR2,PTPN13,RPE,RPL15,RPL19,RPL31,RPL34,RPL36A,RPL36AL,RPL39,RPS15,RPS24,RPS6,RRM1,RRM2,SARDH,SCD5,SCLY,SHMT1,SLC16A1,SNAP25,SORD,TK1,TNFAIP8L2,TPI1,TXNRD1,TYMS,UBB,UROS,XYLB",95,Reactome_2022,True,D_only,both
47,apc/c-mediated degradation of cell cycle proteins r-hsa-174143,48,9.118783541700625e-05,4.496397999830494,41.82814281279916,0.002049826550311453,"BUB1B,CCNA2,CCNB1,CDK1,CDK2,FBXO5,MAD2L1,PTTG1,SKP2,UBB,UBE2C",11,Reactome_2022,True,D_only,both
48,impaired brca2 binding to rad51 r-hsa-9709570,49,9.464967784727876e-05,7.736,71.67657805732632,0.0020842245387186487,"ATRIP,BLM,BRIP1,EXO1,RBBP8,RMI1,RMI2",7,Reactome_2022,True,D_only,both
49,dna replication r-hsa-69306,50,0.00012165987364044949,3.3389673535540636,30.098391068944995,0.0026254200731609,"CCNA2,CDK2,GINS1,GINS3,GINS4,GMNN,MCM10,ORC6,PCNA,POLA2,POLD3,PRIM1,SKP2,UBB,UBE2C",15,Reactome_2022,True,D_only,both
50,tp53 regulates transcription of cell cycle genes r-hsa-6791312,51,0.00013656099985688737,6.043464665415885,53.77921566670162,0.002846663963985902,"CCNA2,CCNB1,CDC25C,CDK1,CDK2,CNOT4,CNOT6L,PCNA",8,Reactome_2022,True,D_only,both
51,hdr thru single strand annealing (ssa) r-hsa-5685938,52,0.00013718862477040493,7.21952,64.21152092413014,0.002846663963985902,"ATRIP,BLM,BRIP1,EXO1,RBBP8,RMI1,RMI2",7,Reactome_2022,True,D_only,both
52,extension of telomeres r-hsa-180786,53,0.00015812671692668997,5.8992673992674,51.63105985398015,0.0032192212747905375,"BLM,CCNA2,CDK2,DSCC1,PCNA,POLA2,POLD3,PRIM1",8,Reactome_2022,True,D_only,both
53,gtp hydrolysis and joining of 60s ribosomal subunit r-hsa-72706,54,0.00017115704958937605,3.8452278017958097,33.349387730330434,0.0034199714167951253,"EIF4B,EIF5,RPL15,RPL19,RPL31,RPL34,RPL36A,RPL36AL,RPL39,RPS15,RPS24,RPS6",12,Reactome_2022,True,D_only,both
54,interconversion of nucleotide di- and triphosphates r-hsa-499943,55,0.00020218498954889787,8.428405460354343,71.69477706256494,0.003966501885877469,"AK4,DCTPP1,RRM1,RRM2,TXNRD1,TYMS",6,Reactome_2022,True,D_only,both
55,"nucleotide-binding domain, leucine rich repeat containing nlr signaling pathways r-hsa-168643",56,0.00024022790451081532,5.505128205128205,45.87931172095996,0.004538617163101918,"CASP4,HSP90AB1,MAP2K6,MAPK11,NLRP3,RIPK2,SUGT1,UBE2N",8,Reactome_2022,True,D_only,both
56,eml4 and nudc in mitotic spindle formation r-hsa-9648025,57,0.00024373889518054863,3.97150132943864,33.040559818870506,0.004538617163101918,"BUB1,BUB1B,CKAP5,DYNLL2,KNL1,KNTC1,MAD2L1,NDC80,NEK7,NUF2,SKA2",11,Reactome_2022,True,D_only,both
57,g1/s-specific transcription r-hsa-69205,58,0.00024817276424746355,8.061536324489513,66.92192014160857,0.004538617163101918,"CDK1,FBXO5,PCNA,RRM2,TK1,TYMS",6,Reactome_2022,True,D_only,both
58,uptake and actions of bacterial toxins r-hsa-5339562,59,0.00024817276424746355,8.061536324489513,66.92192014160857,0.004538617163101918,"HSP90AB1,MAP2K1,MAP2K6,SNAP25,SV2A,TXNRD1",6,Reactome_2022,True,D_only,both
59,selenoamino acid metabolism r-hsa-2408522,60,0.00026152341632797155,3.655787476280835,30.156542387879814,0.004703062770298022,"RPL15,RPL19,RPL31,RPL34,RPL36A,RPL36AL,RPL39,RPS15,RPS24,RPS6,SCLY,TXNRD1",12,Reactome_2022,True,D_only,both
60,g2/m dna replication checkpoint r-hsa-69478,61,0.0002994526598427292,46.18282988871224,374.7068941903835,0.005296875737218111,"CCNB1,CCNB2,CDK1",3,Reactome_2022,True,D_only,both
61,cap-dependent translation initiation r-hsa-72737,62,0.00030761512201453646,3.5851116625310175,28.99158323653286,0.005307794879681331,"EIF4B,EIF5,RPL15,RPL19,RPL31,RPL34,RPL36A,RPL36AL,RPL39,RPS15,RPS24,RPS6",12,Reactome_2022,True,D_only,both
62,glycolysis r-hsa-70171,63,0.0003099083201296792,4.648796147672552,37.558712107992164,0.005307794879681331,"ALDOC,ENO1,ENO2,ENO3,GNPDA2,PFKFB3,PFKFB4,PFKP,TPI1",9,Reactome_2022,True,D_only,both
63,programmed cell death r-hsa-5357801,64,0.00034401619089137947,2.7753713872217256,22.133092339476807,0.00579989796830935,"AKT3,BAD,CASP4,CASP7,CDC37,DFFA,DSG2,DYNLL2,IL18,PRKCQ,PTK2,RRM1,STK24,UACA,UBB,VIM,YWHAQ",17,Reactome_2022,True,D_only,both
64,rho gtpases activate formins r-hsa-5663220,65,0.00038956705768014945,3.4840518540850165,27.351460390400273,0.006466813157490482,"BUB1,BUB1B,CKAP5,DVL2,DYNLL2,KNL1,KNTC1,MAD2L1,NDC80,NUF2,SKA2,SRF",12,Reactome_2022,True,D_only,both
65,rho gtpase cycle r-hsa-9012999,66,0.0004000421164476617,2.127623751262768,16.646402115577473,0.006540082479500408,"ABI1,ABI2,ANLN,ARHGAP12,ARHGAP44,CDC37,CDC42EP1,CYFIP1,DNMBP,DOCK6,DOCK9,DSG2,FNBP1L,HSP90AB1,MYO6,PKN3,PLEKHG2,PRAG1,PTPN13,RACGAP1,RNF20,RRAS2,SLK,STK38,TRIP10,UACA,VIM,WASF1",28,Reactome_2022,True,D_only,both
66,activation of pre-replicative complex r-hsa-68962,67,0.0004368282433302064,7.130253133448021,55.159427726654656,0.0070348906649745175,"CDK2,GMNN,MCM10,ORC6,POLA2,PRIM1",6,Reactome_2022,True,D_only,both
67,telomere c-strand (lagging strand) synthesis r-hsa-174417,68,0.0005197863012191702,6.865814696485623,51.91992781411035,0.00816547910622567,"BLM,DSCC1,PCNA,POLA2,POLD3,PRIM1",6,Reactome_2022,True,D_only,both
68,e2f mediated regulation of dna replication r-hsa-113510,69,0.0005223420999713852,9.077305563373676,68.59890304928875,0.00816547910622567,"CCNB1,CDK1,ORC6,POLA2,PRIM1",5,Reactome_2022,True,D_only,both
69,eukaryotic translation termination r-hsa-72764,70,0.0005448697828065323,3.8762057877813505,29.129545876042762,0.00816547910622567,"RPL15,RPL19,RPL31,RPL34,RPL36A,RPL36AL,RPL39,RPS15,RPS24,RPS6",10,Reactome_2022,True,D_only,both
70,selenocysteine synthesis r-hsa-2408557,71,0.0005448697828065323,3.8762057877813505,29.129545876042762,0.00816547910622567,"RPL15,RPL19,RPL31,RPL34,RPL36A,RPL36AL,RPL39,RPS15,RPS24,RPS6",10,Reactome_2022,True,D_only,both
71,viral mrna translation r-hsa-192823,72,0.0005448697828065323,3.8762057877813505,29.129545876042762,0.00816547910622567,"RPL15,RPL19,RPL31,RPL34,RPL36A,RPL36AL,RPL39,RPS15,RPS24,RPS6",10,Reactome_2022,True,D_only,both
72,phosphorylation of emi1 r-hsa-176417,73,0.0005848238216874932,30.786963434022258,229.18431059708593,0.008644176761654864,"CCNB1,CDK1,FBXO5",3,Reactome_2022,True,D_only,both
73,l13a-mediated translational silencing of ceruloplasmin expression r-hsa-156827,74,0.0006188666087322734,3.519116157843186,25.997895736841976,0.00902374420029896,"EIF4B,RPL15,RPL19,RPL31,RPL34,RPL36A,RPL36AL,RPL39,RPS15,RPS24,RPS6",11,Reactome_2022,True,D_only,both
74,protein ubiquitination r-hsa-8852135,75,0.0006407737835447112,4.161591720370859,30.59949340827323,0.009217300136776702,"HLTF,PCNA,RNF181,RNF20,RTF1,UBB,UBE2C,UBE2E3,UBE2N",9,Reactome_2022,True,D_only,both
75,nonsense mediated decay (nmd) independent of exon junction complex (ejc) r-hsa-975956,76,0.0006492259595876083,3.7812720570935614,27.753514957663253,0.009217300136776702,"RPL15,RPL19,RPL31,RPL34,RPL36A,RPL36AL,RPL39,RPS15,RPS24,RPS6",10,Reactome_2022,True,D_only,both
76,unattached kinetochores signal amplification via a mad2 inhibitory signal r-hsa-141444,77,0.0007072823016152064,3.7355208615813735,27.097769699383832,0.00962736959718989,"BUB1,BUB1B,CKAP5,DYNLL2,KNL1,KNTC1,MAD2L1,NDC80,NUF2,SKA2",10,Reactome_2022,True,D_only,both
77,vegfa-vegfr2 pathway r-hsa-4420097,78,0.0007072823016152064,3.7355208615813735,27.097769699383832,0.00962736959718989,"ABI1,ABI2,AKT3,BCAR1,CTNNA1,CYFIP1,MAPK11,PLCG1,PTK2,WASF1",10,Reactome_2022,True,D_only,both
78,regulation of actin dynamics for phagocytic cup formation r-hsa-2029482,79,0.0007146003404487367,4.585470085470085,33.216169217441426,0.00962736959718989,"ABI1,ABI2,BTK,CYFIP1,HSP90AB1,MYO10,PTK2,WASF1",8,Reactome_2022,True,D_only,both
79,rhobtb gtpase cycle r-hsa-9706574,80,0.000722047380927374,6.391649223311667,46.2334820252826,0.00962736959718989,"CDC37,HSP90AB1,MYO6,RNF20,STK38,VIM",6,Reactome_2022,True,D_only,both
