,term_name,rank,p_value,z_score,combined_score,adj_p_value,genes,n_genes,db,significant,sample_id,direction
10,metabolism of proteins r-hsa-392499,11,4.451328928570437e-13,1.915194522767645,54.46890505004881,4.669848712336622e-11,"ADA2,ADAM10,ADAMTSL4,AHSG,ALB,ALG14,ALG2,ANPEP,APCS,APOA1,APOE,ARSA,ARSB,ARSD,B2M,B3GALNT2,B3GNT8,BST1,C3,C4A,CANX,CD109,CD59,CFP,CKAP4,CP,CPM,CSF2RA,CST3,CTSA,CTSD,CTSG,DAD1,DAG1,DCUN1D3,DDOST,DERL2,DNAJC3,DPAGT1,DPM3,DTD1,EDEM1,EGFL7,F5,F9,FAU,FBXL20,FGG,FKBP9,FN1,FSTL1,FUCA1,FUCA2,FURIN,GALNT1,GALNT10,GALNT2,GALNT3,GAPDHS,GAS6,GLB1,GNA15,GNAQ,GNG11,GNG7,GOLM1,GORASP1,GOSR2,GPAA1,GPC3,GSN,HLA-A,HLA-B,HSP90B1,IGF1,IGF2,IGFBP2,IGFBP3,IGFBP4,IGFBP5,IGFBP7,INHBE,ITIH2,KLHL13,KLKB1,LMAN2,LTF,LYZ,MAN2A2,MLEC,MMP2,MOGS,MRPL33,MRPL34,MSRB2,MSRB3,MXRA8,NCOA1,NEDD8,NPL,NR5A1,NRN1,NUCB1,NUP210,OS9,P2RY2,P4HB,PAX6,PDIA3,PDIA6,PIGT,PIGU,PIGX,PLAUR,PLG,PML,POC1B-GALNT4,PROS1,QSOX1,RAB20,RAB21,RAB31,RAB32,RAB33A,RAB37,RAB43,RAB44,RAB5B,RAB5C,RAB7A,RAB7B,RENBP,RFT1,RHOT1,RPL3L,RPN1,RPN2,RPS4Y2,SEC11A,SEC11C,SEC61A1,SEC61A2,SEL1L,SERPINA1,SERPINC1,SERPIND1,SLC17A5,SLC35A1,SLPI,SORL1,SPCS1,SPCS2,SRPRA,SSR1,SSR2,SSR4,ST3GAL2,ST3GAL4,ST8SIA4,STC2,STT3A,SYVN1,TF,TFAP2A,TGFBI,TGFBR1,THBS1,TIMP1,TMED2,TMED3,TMED7,TMED9,TPST2,TSPAN14,TTR,TUBA1A,TUBB4A,UGGT2,VNN1,XPC,ZDHHC2",181,Reactome_2022,True,D_only,up
11,glycosaminoglycan metabolism r-hsa-1630316,12,9.568728859257643e-11,5.186064862305689,119.64218265979375,9.201927586319434e-09,"AGRN,ARSB,B3GALT6,CHPF2,CHST11,CHST12,CHST13,CHST14,CHST3,CSPG4,EXT1,FMOD,GLB1,GNS,GPC3,GUSB,HEXA,HEXB,HPSE,HYAL3,IDUA,LUM,NDST2,OGN,SLC26A2,SLC35B2,ST3GAL2,ST3GAL4",28,Reactome_2022,True,D_only,up
12,extracellular matrix organization r-hsa-1474244,13,2.258573787420871e-10,3.225958279990963,71.65213803075324,2.0049185774489888e-08,"ADAM10,ADAM8,ADAM9,AGRN,COL1A1,COL1A2,COL23A1,COL2A1,COL6A1,COMP,CTSD,CTSG,CTSL,DAG1,EFEMP1,ELANE,FBLN1,FGB,FGG,FMOD,FN1,FURIN,ICAM1,ICAM3,ICAM4,ITGAM,ITGAX,ITGB2,ITGB7,KLKB1,LUM,MFAP4,MFAP5,MMP14,MMP2,P4HB,PCOLCE,PECAM1,PLG,PPIB,SPARC,THBS1,TIMP1,TIMP2,TTR,VTN",46,Reactome_2022,True,D_only,up
13,transport of small molecules r-hsa-382551,14,3.839478873919596e-10,2.287892689371697,49.60269012867494,3.1648275860737244e-08,"ABCC10,ABCD1,ABCD2,ADCY9,ALB,ANGPTL3,ANO10,APOA1,APOBR,APOC2,APOC3,APOE,ATP13A1,ATP1A2,ATP1B1,ATP2A2,ATP2A3,ATP6AP1,ATP6V0A1,ATP6V0A2,ATP6V0C,ATP6V0D1,CA2,CLCN7,CP,CYB5R1,CYBRD1,DERL2,ERLEC1,ERLIN2,FTL,FURIN,GNG11,GNG7,HBA1,LCAT,LPL,LRRC8B,LRRC8C,LRRC8D,MB,MBTPS2,MCOLN2,MCU,MRS2,NCEH1,NEDD8,NIPA1,OS9,OSTM1,P4HB,RNASE3,SCARB1,SEL1L,SLC12A7,SLC16A3,SLC17A5,SLC20A1,SLC25A10,SLC25A4,SLC25A5,SLC26A2,SLC2A3,SLC33A1,SLC35A1,SLC35B2,SLC38A2,SLC3A2,SLC44A1,SLC4A2,SLC7A1,SLC7A11,SLC7A2,SLC7A5,SLC8B1,SLCO4A1,TCIRG1,TF,TRPM2,TTYH3,VLDLR,WWP1",82,Reactome_2022,True,D_only,up
14,antigen processing-cross presentation r-hsa-1236975,15,4.898689302569711e-10,5.381465146915631,115.36184006771256,3.7687249701102976e-08,"B2M,CD36,CTSL,CYBA,CYBB,FCGR1A,FGB,FGG,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,MRC2,NCF2,NCF4,PDIA3,S100A8,S100A9,SEC61A1,SEC61A2,STX4,TAPBP,TLR2",25,Reactome_2022,True,D_only,up
15,respiratory electron transport r-hsa-611105,16,6.569954262073108e-10,5.83085925386617,123.28386336468468,4.6506313591180965e-08,"COX14,COX18,COX6A1,ETFDH,NDUFA1,NDUFA13,NDUFA3,NDUFA8,NDUFAF3,NDUFAF4,NDUFB1,NDUFB10,NDUFB2,NDUFB7,NDUFB9,NDUFS2,NDUFS4,NDUFS5,NDUFS7,NDUFS8,SDHB,SDHD,TIMMDC1",23,Reactome_2022,True,D_only,up
16,post-translational protein modification r-hsa-597592,17,6.851016733536192e-10,1.880409227683049,39.6793685566755,4.6506313591180965e-08,"ADAM10,ADAMTSL4,AHSG,ALB,ALG14,ALG2,APOA1,APOE,ARSA,ARSB,ARSD,B3GALNT2,B3GNT8,BST1,C3,C4A,CANX,CD109,CD59,CFP,CKAP4,CP,CPM,CST3,CTSA,DAD1,DAG1,DCUN1D3,DDOST,DERL2,DNAJC3,DPAGT1,DPM3,EDEM1,EGFL7,F5,F9,FBXL20,FGG,FN1,FSTL1,FUCA1,FUCA2,FURIN,GALNT1,GALNT10,GALNT2,GALNT3,GAS6,GLB1,GOLM1,GORASP1,GOSR2,GPAA1,GPC3,HLA-A,HLA-B,HSP90B1,IGFBP3,IGFBP4,IGFBP5,IGFBP7,ITIH2,KLHL13,LMAN2,MAN2A2,MLEC,MOGS,MXRA8,NCOA1,NEDD8,NPL,NR5A1,NRN1,NUCB1,NUP210,OS9,P4HB,PDIA3,PDIA6,PIGT,PIGU,PIGX,PLAUR,PML,POC1B-GALNT4,PROS1,QSOX1,RAB20,RAB21,RAB31,RAB32,RAB33A,RAB37,RAB43,RAB44,RAB5B,RAB5C,RAB7A,RAB7B,RENBP,RFT1,RHOT1,RPN1,RPN2,SEL1L,SERPINA1,SERPINC1,SERPIND1,SLC17A5,SLC35A1,SLPI,ST3GAL2,ST3GAL4,ST8SIA4,STC2,STT3A,SYVN1,TF,TFAP2A,TGFBR1,THBS1,TIMP1,TMED2,TMED3,TMED7,TMED9,TPST2,TUBA1A,TUBB4A,UGGT2,VNN1,XPC",133,Reactome_2022,True,D_only,up
17,complex i biogenesis r-hsa-6799198,18,1.2837801751202869e-09,8.461814914645103,173.2426025235514,8.23045734493784e-08,"NDUFA1,NDUFA13,NDUFA3,NDUFA8,NDUFAF3,NDUFAF4,NDUFB1,NDUFB10,NDUFB2,NDUFB7,NDUFB9,NDUFS2,NDUFS4,NDUFS5,NDUFS7,NDUFS8,TIMMDC1",17,Reactome_2022,True,D_only,up
18,citric acid (tca) cycle and respiratory electron transport r-hsa-1428517,19,2.20858618643812e-09,4.004177351311109,79.80691146975215,1.341425504815574e-07,"ATP5F1D,COX14,COX18,COX6A1,CS,ETFDH,LDHD,MPC1,NDUFA1,NDUFA13,NDUFA3,NDUFA8,NDUFAF3,NDUFAF4,NDUFB1,NDUFB10,NDUFB2,NDUFB7,NDUFB9,NDUFS2,NDUFS4,NDUFS5,NDUFS7,NDUFS8,NNT,PDK2,PPARD,SDHB,SDHD,SLC16A3,TIMMDC1",31,Reactome_2022,True,D_only,up
19,asparagine n-linked glycosylation r-hsa-446203,20,2.7117339805258623e-09,3.0837358974260276,60.82877999731291,1.5646705067634227e-07,"ALG14,ALG2,CANX,CD59,CTSA,DAD1,DDOST,DERL2,DPAGT1,DPM3,EDEM1,EGFL7,F5,FUCA1,GLB1,GORASP1,GOSR2,LMAN2,MAN2A2,MLEC,MOGS,NPL,OS9,PDIA3,RENBP,RFT1,RPN1,RPN2,SEL1L,SERPINA1,SLC17A5,SLC35A1,SLPI,ST3GAL2,ST3GAL4,ST8SIA4,STT3A,SYVN1,TMED2,TMED3,TMED7,TMED9,UGGT2",43,Reactome_2022,True,D_only,up
20,ire1alpha activates chaperones r-hsa-381070,21,3.935466851793834e-09,8.455116696588869,163.63387155284659,2.162632736652421e-07,"ACADVL,ATP6V0D1,DNAJB11,DNAJB9,DNAJC3,EDEM1,ERN1,GOSR2,HSPA5,HYOU1,LMNA,PDIA5,PDIA6,SRPRA,SSR1,SYVN1",16,Reactome_2022,True,D_only,up
21,diseases of glycosylation r-hsa-3781865,22,6.686519242260132e-09,4.1437702201530815,77.99890120197962,3.507383275258269e-07,"ADAMTSL4,AGRN,ALG14,ALG2,B3GALT6,CFP,CHST14,CHST3,CSPG4,CTSA,DAG1,DPAGT1,DPM3,EGFL7,EXT1,FMOD,GALNT3,GLB1,GPC3,HEXA,HEXB,LUM,MOGS,OGN,RFT1,SLC26A2,SLPI,THBS1",28,Reactome_2022,True,D_only,up
22,"respiratory electron transport, atp synthesis by chemiosmotic coupling, heat production by uncoupling proteins r-hsa-163200",23,1.2602405002798302e-08,4.63143185927996,84.24286554760444,6.323119727490974e-07,"ATP5F1D,COX14,COX18,COX6A1,ETFDH,NDUFA1,NDUFA13,NDUFA3,NDUFA8,NDUFAF3,NDUFAF4,NDUFB1,NDUFB10,NDUFB2,NDUFB7,NDUFB9,NDUFS2,NDUFS4,NDUFS5,NDUFS7,NDUFS8,SDHB,SDHD,TIMMDC1",24,Reactome_2022,True,D_only,up
23,endosomal/vacuolar pathway r-hsa-1236977,24,1.4354708504196062e-08,44.84135472370767,809.7984474981558,6.902222339100941e-07,"B2M,CTSL,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G",8,Reactome_2022,True,D_only,up
24,unfolded protein response (upr) r-hsa-381119,25,1.690282656689454e-08,5.235798016230839,93.69871547897567,7.80234474327852e-07,"ACADVL,ATP6V0D1,CEBPB,CEBPG,DNAJB11,DNAJB9,DNAJC3,EDEM1,ERN1,GOSR2,HERPUD1,HSP90B1,HSPA5,HYOU1,LMNA,MBTPS2,PDIA5,PDIA6,SRPRA,SSR1,SYVN1",21,Reactome_2022,True,D_only,up
25,diseases of metabolism r-hsa-5668914,26,1.765410358776997e-08,3.107059607059607,55.46815271241473,7.835705977033287e-07,"ADAMTSL4,AGRN,ALDOB,ALG14,ALG2,ARSB,B3GALT6,CFP,CHST14,CHST3,CSF2RA,CSPG4,CTSA,DAG1,DPAGT1,DPM3,EGFL7,EXT1,FMOD,GALNT3,GGT1,GLB1,GNS,GPC3,GUSB,HEXA,HEXB,HGSNAT,IDUA,LUM,MOGS,OGN,OPLAH,PRNP,RFT1,SLC26A2,SLPI,THBS1",38,Reactome_2022,True,D_only,up
26,chondroitin sulfate/dermatan sulfate metabolism r-hsa-1793185,27,6.036655970352893e-08,7.23959000640615,120.34247780212041,2.580111477698977e-06,"AGRN,ARSB,B3GALT6,CHPF2,CHST11,CHST12,CHST13,CHST14,CHST3,CSPG4,GPC3,HEXA,HEXB,HYAL3,IDUA",15,Reactome_2022,True,D_only,up
27,disease r-hsa-1643685,28,7.066169466845146e-08,1.6680392207324293,27.464869952986657,2.912271273121178e-06,"ABCD1,ADAM10,ADAMTSL4,ADCY9,AGRN,AGTRAP,ALDOB,ALG14,ALG2,ANTXR2,AP1S3,APOA1,ARSB,ATP1A2,ATP1B1,B2M,B3GALT6,BCL2L11,BRMS1L,C3,CANX,CD36,CD86,CEBPB,CEBPD,CFP,CHST14,CHST3,CP,CSF2RA,CSPG4,CTSA,CTSG,CTSL,CXCR4,CYBA,DAD1,DAG1,DDOST,DERL2,DNAJC3,DPAGT1,DPM3,EGFL7,ENTPD1,ERLEC1,ERLIN2,EXT1,F9,FAU,FCGR1A,FCGR2A,FGB,FGG,FGR,FIP1L1,FMOD,FN1,FURIN,GALNT1,GALNT3,GGT1,GLB1,GNAI1,GNAI2,GNAZ,GNG11,GNG7,GNS,GPC3,GPR84,GUSB,HBEGF,HCK,HEXA,HEXB,HGSNAT,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,HRAS,HSD17B4,IDUA,IGLL5,IL17RA,IRS2,ISG15,ITPR1,JAK2,KDM7A,KLKB1,LMNA,LONP1,LTF,LUM,MAP4K2,MEFV,MOGS,MYH2,NRP1,NUP210,OGN,OPLAH,OS9,P2RX4,P2RX7,PIGU,PML,PPAN-P2RY11,PRNP,PSTPIP1,RAB7A,RAP1B,RBP1,RBP4,RFT1,RNASE3,RPL3L,RPN1,RPN2,RPS4Y2,S100A8,S100A9,SEL1L,SIGMAR1,SLC17A5,SLC25A4,SLC25A5,SLC26A2,SLC33A1,SLC35A1,SLC3A2,SLPI,ST3GAL2,ST3GAL4,STT3A,SYVN1,TGFBR1,THBS1,TLR2,TPST2,TTR,UNC93B1,VEGFA,YES1,ZDHHC2,ZDHHC3",150,Reactome_2022,True,D_only,up
28,immunoregulatory interactions between a lymphoid and a non-lymphoid cell r-hsa-198933,29,8.480194751056412e-08,4.114417228341279,66.99483901649559,3.3745326699031377e-06,"B2M,C3,CD300A,CD300LF,FCGR1A,FCGR2B,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,ICAM1,ICAM3,ICAM4,IGLL5,ITGB2,ITGB7,LILRA2,LILRB1,LILRB2,LILRB4,TYROBP,ULBP1",24,Reactome_2022,True,D_only,up
29,integrin cell surface interactions r-hsa-216083,30,9.77125655406274e-08,5.866787685424574,94.69720267184188,3.7195787670475004e-06,"AGRN,COL23A1,COMP,FGB,FGG,FN1,ICAM1,ICAM3,ICAM4,ITGAM,ITGAX,ITGB2,ITGB7,LUM,PECAM1,THBS1,VTN",17,Reactome_2022,True,D_only,up
